method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
00_baseline_v1_raw_yield_scaa,Oats,South Dakota,1995,frost_cold,frost_events_2d,1.6499,2.0826472114972034,0.4327472114972035,0.20046752380952393,0.46324394122830614,"In South Dakota Oats 1995, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.200 t/ha (46.3%) of the 0.433 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Kansas,1995,heat,season_tmax_mean,1.7485,2.4706704633204666,0.7221704633204666,0.10409900000000039,0.14414740741592189,"In Kansas Wheat 1995, heat exposure was the dominant modelled driver; moving season_tmax_mean toward feasible normal levels recovered 0.104 t/ha (14.4%) of the 0.722 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Minnesota,1995,drought,dry_spell_events_7d,2.152,2.634766023166023,0.4827660231660227,0.3467126190476146,0.7181794128216444,"In Minnesota Wheat 1995, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.347 t/ha (71.8%) of the 0.483 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Oklahoma,1995,heat,season_tmean_mean,1.4123,1.9478657443157417,0.5355657443157416,0.12258747619047615,0.2288934225005343,"In Oklahoma Wheat 1995, heat exposure was the dominant modelled driver; moving season_tmean_mean toward feasible normal levels recovered 0.123 t/ha (22.9%) of the 0.536 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Oklahoma,1996,excess_rain,max_7day_rain,1.2374,2.0385309090909054,0.8011309090909053,0.32105276190476295,0.40074943840212346,"In Oklahoma Barley 1996, excess rainfall or wetness was the dominant modelled driver; moving max_7day_rain toward feasible normal levels recovered 0.321 t/ha (40.1%) of the 0.801 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Texas,1996,excess_rain,max_7day_rain,1.8292,2.1568909090909187,0.3276909090909188,0.21233009523809573,0.6479584552014048,"In Texas Barley 1996, excess rainfall or wetness was the dominant modelled driver; moving max_7day_rain toward feasible normal levels recovered 0.212 t/ha (64.8%) of the 0.328 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Colorado,1996,excess_rain,wet_days_1mm,1.8651,2.176275467980308,0.3111754679803078,0.1291707142857139,0.41510571229827226,"In Colorado Oats 1996, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.129 t/ha (41.5%) of the 0.311 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Montana,1996,heat,heat_days_30,1.4347,1.8849992964392968,0.45029929643929667,0.30275352380952264,0.6723384340227052,"In Montana Oats 1996, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.303 t/ha (67.2%) of the 0.450 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Texas,1996,drought,dry_days_1mm,1.2195,1.5489525825825794,0.32945258258257937,0.16403333333333453,0.4978966382581583,"In Texas Oats 1996, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.164 t/ha (49.8%) of the 0.329 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Illinois,1996,drought,dry_spell_events_14d,2.5555,3.357479699699695,0.8019796996996953,0.1887280952380963,0.23532777115027517,"In Illinois Wheat 1996, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.189 t/ha (23.5%) of the 0.802 t/ha detrended yield shortfall."
