country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Texas,Oats,1990,spring,183.0,475.81,2.6,118.0,133.0,31.0,7.0,1.0,12.0,5.0,3.0,0.0,41.72,67.19,81.36,65.0,32.163,19.393,25.778,3802.42,125.0,62.0,4.0,49.0,18.0,9.0,8.0,619.92,157.53,89.0,0.0,2.0,3.47,0.0,3990.14,21.804,217.23,4.0,0.0,1236.32,67.19,131.38,38.0,0.0,1512.12,46.33,127.2,20.0,0.0,1241.7,38.6,31.0,-99.0,1.4706,1.5056379879879849,-0.035037987987984964,-0.19204672843107756,False
United States,Washington,Oats,1990,spring,183.0,266.08,1.454,122.0,142.0,21.0,6.0,4.0,4.0,1.0,0.0,0.0,21.5,28.64,39.38,61.0,19.453,6.545,12.999,1478.02,7.0,0.0,0.0,3.0,0.0,1.0,0.0,10.32,0.0,7.0,13.0,72.0,-3.08,2.0,3460.37,18.909,130.7,0.0,13.0,1021.68,24.78,78.66,0.0,0.0,1333.82,16.51,56.72,0.0,0.0,1104.87,28.64,47.4,-120.7,2.3672,2.6111324137931042,-0.24393241379310426,-0.5523316928603742,False
United States,Colorado,Wheat,1990,winter,303.0,268.94,0.888,242.0,264.0,27.0,14.0,2.0,3.0,0.0,0.0,0.0,13.79,28.31,30.7,61.0,9.759,-4.82,2.469,679.09,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.83,0.0,3.0,233.0,277.0,-22.01,8.0,4902.85,16.181,72.72,0.0,68.0,1434.48,15.82,75.42,0.0,101.0,1215.1,28.31,120.8,0.0,64.0,2253.27,20.9,39.0,-105.5,2.2596,2.1796948948948955,0.07990510510510429,0.1790977297927554,False
United States,Illinois,Wheat,1990,winter,303.0,860.63,2.84,199.0,230.0,27.0,9.0,2.0,26.0,10.0,6.0,2.0,57.0,70.28,104.74,104.0,13.877,2.703,8.29,1767.62,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19,0.0,0.0,135.0,178.0,-27.62,12.0,3858.94,12.736,170.49,0.0,32.0,1163.91,55.01,233.42,0.0,88.0,877.61,58.38,456.72,0.0,15.0,1817.42,70.28,40.0,-89.0,3.228,2.9308618618618425,0.2971381381381577,0.6956180625343935,False
United States,Iowa,Wheat,1990,winter,303.0,808.73,2.669,220.0,235.0,27.0,12.0,3.0,31.0,12.0,6.0,1.0,60.15,100.09,148.74,83.0,11.864,0.626,6.245,1460.065,5.0,0.0,0.0,5.0,0.0,1.0,0.0,2.98,0.0,0.0,158.0,201.0,-28.07,10.0,3989.7,13.167,176.9,0.0,43.0,1146.49,62.95,157.02,0.0,94.0,869.81,57.6,474.81,0.0,21.0,1973.4,100.09,42.0,-93.5,3.0263,2.5272386206896584,0.49906137931034156,1.0333828404164063,False
United States,Kansas,Wheat,1990,winter,303.0,487.43,1.609,228.0,246.0,47.0,11.0,4.0,15.0,4.0,1.0,0.0,25.56,38.7,57.05,75.0,17.172,3.998,10.585,2200.735,35.0,13.0,4.0,11.0,6.0,3.0,2.0,151.72,44.43,20.0,121.0,169.0,-26.83,15.0,4461.06,14.723,94.99,0.0,30.0,1387.81,33.91,116.25,0.0,80.0,1071.18,37.21,276.19,13.0,11.0,2002.07,38.7,38.5,-98.0,2.69,2.381431981981983,0.30856801801801703,0.675194402385422,False
United States,Minnesota,Wheat,1990,spring,183.0,643.99,3.519,109.0,121.0,14.0,5.0,1.0,23.0,5.0,2.0,1.0,50.52,71.58,81.33,74.0,21.007,9.337,15.172,1936.295,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.75,0.0,2.0,23.0,45.0,-7.67,2.0,3402.76,18.594,151.73,0.0,23.0,1104.53,35.49,324.73,0.0,0.0,1276.95,71.58,167.53,0.0,0.0,1021.28,49.48,46.0,-94.0,3.2549,2.349782432432434,0.905117567567566,2.0150311231528972,False
United States,Montana,Wheat,1990,spring,183.0,282.34,1.543,117.0,143.0,27.0,4.0,1.0,5.0,0.0,0.0,0.0,19.62,33.88,44.03,66.0,20.928,6.794,13.861,1688.17,16.0,1.0,0.0,4.0,1.0,1.0,0.0,31.08,0.49,12.0,28.0,70.0,-8.4,6.0,3937.42,21.516,139.06,0.0,28.0,1186.2,33.88,71.48,1.0,0.0,1520.08,14.86,71.8,0.0,0.0,1231.14,32.65,47.0,-110.0,1.8898,2.0353487987988004,-0.14554879879880045,-0.40799820811261456,False
United States,Nebraska,Wheat,1990,winter,303.0,359.62,1.187,240.0,258.0,37.0,10.0,6.0,9.0,1.0,1.0,0.0,28.35,38.9,44.85,63.0,14.35,1.429,7.889,1638.5,21.0,7.0,1.0,7.0,4.0,3.0,1.0,68.44,11.24,18.0,149.0,204.0,-28.12,11.0,4365.09,14.406,68.82,0.0,35.0,1255.9,29.19,67.91,0.0,95.0,1016.24,38.9,222.89,7.0,19.0,2092.95,27.53,41.5,-99.8,2.5555,2.3685085585585526,0.1869914414414473,0.49822050549705027,False
United States,North Dakota,Wheat,1990,spring,183.0,364.99,1.994,128.0,143.0,23.0,6.0,2.0,12.0,0.0,0.0,0.0,19.93,34.2,55.61,55.0,23.109,9.138,16.124,2105.36,36.0,0.0,0.0,4.0,0.0,3.0,0.0,58.01,0.0,20.0,25.0,46.0,-7.52,3.0,3797.12,20.749,77.36,0.0,25.0,1205.88,25.63,215.28,0.0,0.0,1462.4,34.2,72.35,0.0,0.0,1128.84,17.16,47.5,-100.5,2.374,1.8823429429429268,0.4916570570570733,1.3549173232287643,False
