method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
01_residual_target_scaa,Barley,Kansas,2006,excess_rain,max_7day_rain,1.4526,2.2455274300742367,0.7929274300742368,0.686653617429608,0.8659728386055718,"In Kansas Barley 2006, excess rainfall or wetness was the dominant modelled driver; moving max_7day_rain toward feasible normal levels recovered 0.687 t/ha (86.6%) of the 0.793 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,North Dakota,2006,heat,heatwave_events_3d_30,2.6362,3.140758996138999,0.5045589961389987,0.1305426391161112,0.25872621460533546,"In North Dakota Barley 2006, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.131 t/ha (25.9%) of the 0.505 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Nebraska,2006,excess_rain,wet_days_1mm,1.614,2.140521548691547,0.5265215486915469,0.3682287979273141,0.6993613059947795,"In Nebraska Oats 2006, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.368 t/ha (69.9%) of the 0.527 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,North Dakota,2006,heat,heatwave_events_3d_30,1.4706,2.19897228228227,0.72837228228227,0.32101907211920827,0.4407348823232705,"In North Dakota Oats 2006, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.321 t/ha (44.1%) of the 0.728 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Oklahoma,2006,heat,heatwave_events_3d_30,1.076,1.4158574942704352,0.3398574942704351,0.27035556125133514,0.7954968356125314,"In Oklahoma Oats 2006, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.270 t/ha (79.5%) of the 0.340 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,South Dakota,2006,excess_rain,wet_days_1mm,2.0444,2.425140776490764,0.380740776490764,0.14025017007901805,0.36836130705958214,"In South Dakota Oats 2006, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.140 t/ha (36.8%) of the 0.381 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Texas,2006,excess_rain,wet_days_1mm,1.3271,1.6211435735735709,0.2940435735735709,0.15927692386916725,0.5416779626687387,"In Texas Oats 2006, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.159 t/ha (54.2%) of the 0.294 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Colorado,2006,excess_rain,wet_days_1mm,1.4526,2.324860197340195,0.8722601973401951,0.5976454172404791,0.6851687364193555,"In Colorado Wheat 2006, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.598 t/ha (68.5%) of the 0.872 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Kansas,2006,drought,rain_mean,2.152,2.6669951222651207,0.5149951222651206,0.4189631693980201,0.813528422473751,"In Kansas Wheat 2006, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.419 t/ha (81.4%) of the 0.515 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,North Dakota,2006,heat,heatwave_events_3d_30,2.0377,2.5244801887601795,0.4867801887601795,0.28937861094849415,0.5944749142021091,"In North Dakota Wheat 2006, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.289 t/ha (59.4%) of the 0.487 t/ha detrended yield shortfall."
