crop,region,year,step,feature,from_value,to_value,standardized_delta,prediction_before_t_ha,prediction_after_t_ha,prediction_gain_t_ha
Oats,Minnesota,1995,2,heat_degree_days_30,9.31,4.75,0.15653127724208576,-0.28082197176389645,-0.26077859538026477,0.020043376383631684
Oats,Minnesota,1995,3,heavy_rain_days_10,20.0,18.0,0.3932066892024847,-0.26077859538026477,-0.22573403792316074,0.035044557457104025
Oats,Minnesota,1995,4,heatwave_events_3d_30,1.0,0.0,0.62110519846792,-0.22573403792316074,-0.17165966419260378,0.05407437373055696
Oats,South Dakota,1995,1,max_consecutive_heat_days_30,8.0,8.25,0.03265704501367118,-0.32041269592466054,-0.3135870915190427,0.006825604405617858
Oats,South Dakota,1995,2,heat_degree_days_35,19.45,15.3925,0.1288303938944203,-0.3135870915190427,-0.29645035486369536,0.017136736655347318
Oats,South Dakota,1995,3,heatwave_events_3d_35,0.0,0.25,0.15035950937624612,-0.29645035486369536,-0.2770601920255181,0.01939016283817724
Oats,South Dakota,1995,4,max_7day_rain,63.47,64.325,0.03657240680621007,-0.2770601920255181,-0.27250489826237795,0.004555293763140178
Wheat,Kansas,1995,1,heat_degree_days_35,0.27,0.0,0.014507451691323696,-0.501892575736136,-0.4915635984103231,0.010328977325812894
Wheat,Kansas,1995,2,heat_days_35,1.0,0.0,0.16273887514389648,-0.4915635984103231,-0.4505962385045345,0.04096735990578859
Wheat,Kansas,1995,3,heatwave_events_3d_30,2.0,4.0,0.9548414223437545,-0.4505962385045345,-0.27051002281785524,0.18008621568667926
Wheat,Kansas,1995,4,max_7day_rain,109.53,106.795,0.12092832704399656,-0.27051002281785524,-0.2557602800675489,0.014749742750306327
Wheat,Minnesota,1995,1,rain_mean,3.234,2.99,0.4047721480734233,-0.43155826412351556,-0.33504878598608695,0.0965094781374286
Wheat,Minnesota,1995,2,heat_degree_days_30,9.31,4.75,0.15653127724208576,-0.33504878598608695,-0.31242093957725725,0.0226278464088297
Wheat,Minnesota,1995,3,season_tmin_mean,9.475,9.449,0.031918454476275636,-0.31242093957725725,-0.3080429442901334,0.004377995287123848
Wheat,Minnesota,1995,4,heatwave_events_3d_30,1.0,0.0,0.62110519846792,-0.3080429442901334,-0.24194369343509084,0.06609925085504256
Wheat,Oklahoma,1995,1,heat_degree_days_35,0.0,0.9650000000000001,0.038557662527736826,-0.43933790824766766,-0.42967080821765885,0.009667100030008813
Wheat,Oklahoma,1995,2,max_dry_spell_1mm,15.0,20.0,0.5701673605376382,-0.42967080821765885,-0.31743901789607,0.11223179032158886
Wheat,Oklahoma,1995,3,wet_days_1mm,100.0,95.0,0.35428874050061787,-0.31743901789607,-0.2684540545968621,0.04898496329920787
Wheat,Oklahoma,1995,4,heatwave_events_3d_30,3.0,3.75,0.3423265984407288,-0.2684540545968621,-0.22703554784020874,0.04141850675665337
Barley,Oklahoma,1996,1,heatwave_events_3d_30,10.0,9.0,0.47470170284755536,-0.6473058131952986,-0.43224950345891533,0.21505630973638323
Barley,Oklahoma,1996,2,heat_days_40,6.0,7.0,0.0854601416309872,-0.43224950345891533,-0.4173370812651912,0.014912422193724129
Barley,Oklahoma,1996,3,heatwave_events_3d_35,5.0,4.0,0.5676617222925588,-0.4173370812651912,-0.31763346817655436,0.09970361308863684
Barley,Oklahoma,1996,4,wet_days_1mm,78.0,77.0,0.08735965627588818,-0.31763346817655436,-0.3050534220070134,0.012580046169540948
Barley,Texas,1996,1,heatwave_events_3d_35,5.0,4.25,0.30001739281678136,-0.35129579545225903,-0.23855747504039082,0.11273832041186821
Barley,Texas,1996,2,max_7day_rain,89.45,62.62,0.8892286595884584,-0.23855747504039082,-0.105504767853956,0.1330527071864348
Barley,Texas,1996,3,heat_days_40,7.0,5.0,0.1827125230450184,-0.105504767853956,-0.08394167980186466,0.02156308805209134
Barley,Texas,1996,4,heavy_rain_days_20,3.0,4.0,0.43213289190389487,-0.08394167980186466,-0.03956085791144864,0.044380821890416026
Oats,Colorado,1996,1,rain_sum,305.42,356.76,0.9022970596892554,-0.1822968578862537,-0.104048649267488,0.07824820861876569
Oats,Colorado,1996,2,rain_mean,1.669,1.95,0.9038065135546232,-0.104048649267488,-0.019342143990209677,0.08470650527727833
Oats,Colorado,1996,3,frost_events_2d,5.0,4.0,1.0322663273069617,-0.019342143990209677,0.022176830085337645,0.04151897407554732
Oats,Montana,1996,1,season_tmean_mean,13.048,12.954,0.1012928376160354,-0.37187647549673225,-0.3556880277932583,0.01618844770347394
Oats,Montana,1996,2,season_tmax_mean,19.891,19.811,0.07193547575911917,-0.3556880277932583,-0.3467672913375204,0.008920736455737932
Oats,Montana,1996,3,max_7day_rain,38.64,38.5,0.006121930572250037,-0.3467672913375204,-0.34602081151641206,0.0007464798211083146
Oats,Montana,1996,4,max_consecutive_heat_days_30,5.0,3.0,0.6435178081010002,-0.34602081151641206,-0.26870050303144544,0.07732030848496663
Oats,Texas,1996,1,heatwave_events_3d_35,5.0,4.25,0.30001739281678136,-0.2689054700812124,-0.20525751346379292,0.06364795661741948
Oats,Texas,1996,2,max_7day_rain,89.45,62.62,0.8892286595884584,-0.20525751346379292,-0.10200791207765302,0.10324960138613991
Oats,Texas,1996,3,heat_days_40,7.0,5.0,0.1827125230450184,-0.10200791207765302,-0.08627906650806472,0.0157288455695883
Oats,Texas,1996,4,heat_degree_days_30,670.35,628.96,0.208980076390727,-0.08627906650806472,-0.0708757590391,0.01540330746896472
Wheat,Illinois,1996,1,max_7day_rain,91.06,90.965,0.003287394594903575,-0.6385561595780819,-0.6366440257299483,0.0019121338481336014
Wheat,Illinois,1996,2,max_3day_rain,59.69,49.39,0.4053929932419584,-0.6366440257299483,-0.5079821388558105,0.12866188687413782
Wheat,Illinois,1996,3,heavy_rain_days_10,22.0,17.5,0.6858133276378695,-0.5079821388558105,-0.3512073959715116,0.15677474288429882
Wheat,Illinois,1996,4,heavy_rain_days_20,5.0,4.0,0.285050219073903,-0.3512073959715116,-0.3093511916052876,0.041856204366224004
Wheat,Kansas,1996,1,rain_mean,1.423,1.8439999999999999,0.9981495462102052,-0.5311484583729479,-0.40930809891333547,0.12184035945961241
Wheat,Kansas,1996,2,wet_days_1mm,49.0,52.5,0.2847481466272037,-0.40930809891333547,-0.3651223083997522,0.04418579051358329
Wheat,Kansas,1996,3,dry_days_1mm,255.0,233.0,1.7881976806627242,-0.3651223083997522,-0.21245470467527533,0.15266760372447685
Wheat,Kansas,1996,4,heatwave_events_3d_30,6.0,4.0,0.9548414223437545,-0.21245470467527533,-0.15551623887940483,0.0569384657958705
Wheat,Oklahoma,1996,1,rain_mean,1.636,1.713,0.13558689519573286,-0.6610915664687479,-0.6132731213385391,0.04781844513020883
Wheat,Oklahoma,1996,2,dry_days_2mm,257.0,255.5,0.13013640486415684,-0.6132731213385391,-0.586537692174688,0.026735429163851077
