crop,region,year,window,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Oats,Texas,2006,spring,wet_days_1mm,excess_rain,1.3271,1.6211435735735709,0.2940435735735709,-0.24534870471475378,-0.08607178084558645,0.15927692386916734,0.5416779626687389,4,"[{""feature"": ""rain_sum"", ""from"": 333.89, ""to"": 311.58, ""standardized_delta"": 0.1973, ""prediction_gain_t_ha"": 0.0212}, {""feature"": ""rain_mean"", ""from"": 1.825, ""to"": 2.0013, ""standardized_delta"": 0.2852, ""prediction_gain_t_ha"": 0.025}, {""feature"": ""heatwave_events_3d_30"", ""from"": 8.0, ""to"": 7.0, ""standardized_delta"": 0.5022, ""prediction_gain_t_ha"": 0.0364}, {""feature"": ""wet_days_1mm"", ""from"": 40.0, ""to"": 54.5, ""standardized_delta"": 1.086, ""prediction_gain_t_ha"": 0.0767}]"
Wheat,Colorado,2006,winter,wet_days_1mm,excess_rain,1.4526,2.324860197340195,0.8722601973401951,-0.7171610619012548,-0.11951564466077551,0.5976454172404794,0.6851687364193557,4,"[{""feature"": ""rain_mean"", ""from"": 0.771, ""to"": 0.8948, ""standardized_delta"": 0.6301, ""prediction_gain_t_ha"": 0.1414}, {""feature"": ""dry_days_1mm"", ""from"": 240.0, ""to"": 223.0, ""standardized_delta"": 1.2555, ""prediction_gain_t_ha"": 0.2589}, {""feature"": ""wet_days_1mm"", ""from"": 63.0, ""to"": 81.0, ""standardized_delta"": 1.3332, ""prediction_gain_t_ha"": 0.122}, {""feature"": ""dry_spell_events_7d"", ""from"": 14.0, ""to"": 16.0, ""standardized_delta"": 0.8567, ""prediction_gain_t_ha"": 0.0754}]"
Wheat,Kansas,2006,winter,rain_mean,drought,2.152,2.6669951222651207,0.5149951222651206,-0.4907236113502071,-0.07176044195218703,0.41896316939802003,0.813528422473751,4,"[{""feature"": ""dry_days_1mm"", ""from"": 244.0, ""to"": 233.0, ""standardized_delta"": 0.8941, ""prediction_gain_t_ha"": 0.0945}, {""feature"": ""rain_mean"", ""from"": 1.301, ""to"": 1.9943, ""standardized_delta"": 1.6436, ""prediction_gain_t_ha"": 0.1554}, {""feature"": ""wet_days_1mm"", ""from"": 59.0, ""to"": 70.5, ""standardized_delta"": 0.9356, ""prediction_gain_t_ha"": 0.0918}, {""feature"": ""dry_spell_events_14d"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.818, ""prediction_gain_t_ha"": 0.0772}]"
Wheat,North Dakota,2006,spring,heatwave_events_3d_30,heat,2.0377,2.5244801887601795,0.4867801887601795,-0.5071468959236507,-0.2177682849751566,0.2893786109484941,0.594474914202109,4,"[{""feature"": ""rain_mean"", ""from"": 1.555, ""to"": 1.554, ""standardized_delta"": 0.0022, ""prediction_gain_t_ha"": 0.0005}, {""feature"": ""rain_sum"", ""from"": 284.61, ""to"": 315.025, ""standardized_delta"": 0.3642, ""prediction_gain_t_ha"": 0.0664}, {""feature"": ""heatwave_events_3d_30"", ""from"": 5.0, ""to"": 2.0, ""standardized_delta"": 1.5635, ""prediction_gain_t_ha"": 0.187}, {""feature"": ""heavy_rain_days_20"", ""from"": 1.0, ""to"": 2.0, ""standardized_delta"": 0.491, ""prediction_gain_t_ha"": 0.0355}]"
Wheat,Oklahoma,2006,winter,wet_days_1mm,excess_rain,1.614,2.07081233376233,0.45681233376232977,-0.47213228622550074,-0.17639924986186176,0.295733036363639,0.6473840886211775,4,"[{""feature"": ""max_7day_rain"", ""from"": 76.98, ""to"": 73.72, ""standardized_delta"": 0.1162, ""prediction_gain_t_ha"": 0.0144}, {""feature"": ""dry_spell_events_7d"", ""from"": 14.0, ""to"": 16.0, ""standardized_delta"": 1.0588, ""prediction_gain_t_ha"": 0.064}, {""feature"": ""rain_mean"", ""from"": 1.367, ""to"": 2.113, ""standardized_delta"": 1.3136, ""prediction_gain_t_ha"": 0.089}, {""feature"": ""wet_days_1mm"", ""from"": 47.0, ""to"": 72.0, ""standardized_delta"": 1.7714, ""prediction_gain_t_ha"": 0.1284}]"
Wheat,South Dakota,2006,spring,heavy_rain_days_20,excess_rain,2.1924,2.6963431102531104,0.5039431102531102,-0.4404229527144999,-0.1564464606930006,0.28397649202149927,0.5635090275941452,4,"[{""feature"": ""rain_mean"", ""from"": 1.58, ""to"": 1.714, ""standardized_delta"": 0.3002, ""prediction_gain_t_ha"": 0.0517}, {""feature"": ""rain_sum"", ""from"": 289.23, ""to"": 313.58, ""standardized_delta"": 0.2981, ""prediction_gain_t_ha"": 0.0468}, {""feature"": ""wet_days_1mm"", ""from"": 60.0, ""to"": 64.0, ""standardized_delta"": 0.5156, ""prediction_gain_t_ha"": 0.0629}, {""feature"": ""heavy_rain_days_20"", ""from"": 0.0, ""to"": 2.0, ""standardized_delta"": 1.0698, ""prediction_gain_t_ha"": 0.1226}]"
Wheat,Texas,2006,winter,dry_days_2mm,drought,1.614,2.074245555555553,0.4602455555555529,-0.41749037151577584,-0.14483009508304148,0.2726602764327344,0.5924234859880652,4,"[{""feature"": ""wet_days_1mm"", ""from"": 57.0, ""to"": 62.0, ""standardized_delta"": 0.2634, ""prediction_gain_t_ha"": 0.0766}, {""feature"": ""rain_mean"", ""from"": 1.441, ""to"": 1.6625, ""standardized_delta"": 0.3381, ""prediction_gain_t_ha"": 0.0813}, {""feature"": ""dry_days_1mm"", ""from"": 246.0, ""to"": 241.25, ""standardized_delta"": 0.25, ""prediction_gain_t_ha"": 0.0457}, {""feature"": ""dry_days_2mm"", ""from"": 261.0, ""to"": 252.25, ""standardized_delta"": 0.5498, ""prediction_gain_t_ha"": 0.069}]"
Canola,North Dakota,2007,spring,heatwave_events_3d_30,heat,1.3786,1.7255859663865607,0.34698596638656065,-0.2415358823573515,-0.06397124068262174,0.17756464167472974,0.5117343606827989,4,"[{""feature"": ""wet_days_1mm"", ""from"": 56.0, ""to"": 62.0, ""standardized_delta"": 0.676, ""prediction_gain_t_ha"": 0.0697}, {""feature"": ""max_3day_rain"", ""from"": 59.44, ""to"": 55.915, ""standardized_delta"": 0.2316, ""prediction_gain_t_ha"": 0.0191}, {""feature"": ""heatwave_events_3d_30"", ""from"": 4.0, ""to"": 2.0, ""standardized_delta"": 1.0423, ""prediction_gain_t_ha"": 0.0719}, {""feature"": ""frost_days_0"", ""from"": 16.0, ""to"": 14.0, ""standardized_delta"": 0.3383, ""prediction_gain_t_ha"": 0.0169}]"
Oats,Colorado,2007,spring,rain_mean,drought,1.9727,2.3164122167487804,0.3437122167487805,-0.24117719311599733,-0.05830219841859897,0.18287499469739837,0.5320584657340296,4,"[{""feature"": ""rain_sum"", ""from"": 332.82, ""to"": 356.76, ""standardized_delta"": 0.4207, ""prediction_gain_t_ha"": 0.0918}, {""feature"": ""rain_mean"", ""from"": 1.819, ""to"": 1.95, ""standardized_delta"": 0.4213, ""prediction_gain_t_ha"": 0.0796}, {""feature"": ""radiation_mean"", ""from"": 21.184, ""to"": 21.0866, ""standardized_delta"": 0.1733, ""prediction_gain_t_ha"": 0.0089}, {""feature"": ""radiation_sum"", ""from"": 3876.76, ""to"": 3882.13, ""standardized_delta"": 0.0522, ""prediction_gain_t_ha"": 0.0026}]"
Oats,Illinois,2007,spring,max_7day_rain,excess_rain,2.2238,2.59559328614327,0.3717932861432698,-0.26615358537887335,-0.14673465670868485,0.1194189286701885,0.3211971090413146,4,"[{""feature"": ""max_3day_rain"", ""from"": 57.13, ""to"": 54.9675, ""standardized_delta"": 0.1032, ""prediction_gain_t_ha"": 0.0353}, {""feature"": ""max_7day_rain"", ""from"": 73.5, ""to"": 65.895, ""standardized_delta"": 0.3063, ""prediction_gain_t_ha"": 0.0563}, {""feature"": ""rain_sum"", ""from"": 429.14, ""to"": 433.605, ""standardized_delta"": 0.0369, ""prediction_gain_t_ha"": 0.0043}, {""feature"": ""heatwave_events_3d_35"", ""from"": 0.0, ""to"": 0.25, ""standardized_delta"": 0.2584, ""prediction_gain_t_ha"": 0.0235}]"
