crop,region,year,window,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,analog_year,analog_distance,analog_rank_used,fallback_region_window_pool
Barley,North Dakota,1997,spring,heat,heatwave_events_3d_30,2.421,2.83226297297297,0.41126297297297,-0.3828230731952713,0.7546471392691755,0.3828230731952713,0.9308474099379526,1992,1.0984478814083103,7,False
Oats,North Dakota,1997,spring,heat,heatwave_events_3d_30,1.5782,1.9664893093093028,0.3882893093093027,-0.37263532938445326,0.6348743814577023,0.37263532938445326,0.9596847516798876,1992,1.0984478814083103,6,False
Wheat,Minnesota,1997,spring,drought,dry_spell_events_7d,2.152,2.748759459459464,0.5967594594594638,-0.3695394814985779,0.8405474387383882,0.3695394814985779,0.6192436091977519,1992,0.7083109133924194,2,False
Wheat,North Dakota,1997,spring,heat,heatwave_events_3d_30,1.6342,2.1632779879879678,0.5290779879879677,-0.4414811817702143,0.6635195993601396,0.4414811817702143,0.8344349827312311,1992,1.0984478814083103,6,False
Wheat,South Dakota,1997,spring,heat,season_tmax_mean,1.9301,2.3631684384384357,0.4330684384384358,-0.36286158862644063,0.6460040685249185,0.36286158862644063,0.8378850925614714,2004,1.071058990969605,5,False
Oats,Illinois,1998,spring,frost_cold,frost_events_2d,2.0086,2.383922436722422,0.37532243672242194,-0.3527369222879043,0.2253807042489573,0.3527369222879043,0.9398237029692386,1990,1.008874588013242,7,False
Barley,Minnesota,1999,spring,excess_rain,max_3day_rain,2.5286,3.096537378807369,0.5679373788073692,-0.3134519384647147,0.5243128311180663,0.3134519384647147,0.551912851946711,2017,0.8643102122707388,4,False
Barley,Texas,1999,spring,frost_cold,frost_events_2d,1.883,2.1989527272727294,0.3159527272727294,-0.16342191979194917,0.36505837376560946,0.16342191979194917,0.5172353510051644,1997,1.6768735005904876,6,False
Barley,Montana,2000,spring,heat,max_consecutive_heat_days_35,2.152,2.627072136422136,0.47507213642213575,-0.39770401226136737,0.43741325871974873,0.39770401226136737,0.8371444708514304,2016,1.0482357809631255,10,False
Barley,Nebraska,2000,spring,heat,heat_days_30,1.4526,2.389104285714275,0.9365042857142751,-0.8858898787248438,0.44584128251407096,0.8858898787248438,0.9459538971027479,1992,1.7703317369320246,10,False
Oats,Nebraska,2000,spring,heat,max_consecutive_heat_days_35,1.5064,2.106429965679963,0.600029965679963,-0.6024495699822233,0.3826622753746208,0.600029965679963,1.0,2003,1.0002008922259211,8,False
Barley,Montana,2001,spring,drought,dry_spell_events_14d,2.2058,2.6370569626769615,0.43125696267696156,-0.46584017153498575,0.4374132587197488,0.43125696267696156,1.0,2016,1.2014408922182456,9,False
Barley,Washington,2001,spring,excess_rain,heavy_rain_days_10,2.69,3.330364813384813,0.6403648133848132,-0.6303688271310012,1.0290763200120616,0.6303688271310012,0.9843901694083164,2020,0.8682439871170182,9,False
Canola,Montana,2001,spring,drought,dry_spell_events_14d,1.02,1.3948650183150235,0.3748650183150235,-0.382414776348728,0.40797663960002994,0.3748650183150235,1.0,2016,1.2014408922182456,6,False
Oats,Washington,2001,spring,drought,dry_spell_events_7d,1.9727,2.4758611330049263,0.5031611330049264,-0.4948367113791817,0.45918406050779587,0.4948367113791817,0.9834557538734552,2012,0.5445278887191171,2,False
Wheat,Montana,2001,spring,drought,dry_spell_events_14d,1.54,2.152728283998286,0.6127282839982859,-0.5190970626816218,0.460349089350792,0.5190970626816218,0.847189653616633,2016,1.2014408922182456,10,False
Barley,Minnesota,2002,spring,frost_cold,frost_days_0,2.2058,3.161413401973398,0.9556134019733982,-0.6992417737261958,0.516788963148691,0.6992417737261958,0.7317203508052735,2015,1.025589151510465,6,False
Barley,Montana,2002,spring,heat,heatwave_events_3d_35,2.2596,2.647041788931787,0.3874417889317874,-0.4211447112763481,0.4597251389223875,0.3874417889317874,1.0,2020,1.8145366879384073,10,False
Barley,Nebraska,2002,spring,heat,max_consecutive_heat_days_35,1.7216,2.425227142857139,0.703627142857139,-0.704461715778606,0.44584128251407096,0.703627142857139,1.0,1992,2.1330688691841537,10,False
Barley,North Dakota,2002,spring,heat,heat_days_40,2.421,3.003649652509651,0.5826496525096512,-0.5490399414120544,0.3543192072501403,0.5490399414120544,0.942315745057378,2018,1.5343448192988387,5,False
Barley,South Dakota,2002,spring,heat,heat_days_40,1.883,2.4424528505002376,0.5594528505002376,-0.6711256392108508,0.4143031716994606,0.5594528505002376,1.0,2000,1.152003871230781,5,False
Canola,Minnesota,2002,spring,excess_rain,heavy_rain_days_25,0.9976,1.486950837438414,0.4893508374384139,-0.577000405699542,0.2234016630796442,0.4893508374384139,1.0,2022,0.8100057430084022,2,False
Canola,Montana,2002,spring,heat,heatwave_events_3d_35,1.0088,1.3980328449328505,0.3892328449328506,-0.368035080002711,0.3998609610340574,0.368035080002711,0.9455396295402652,2020,1.8145366879384073,10,False
Canola,North Dakota,2002,spring,heat,heat_days_40,1.3562,1.6189015126050492,0.26270151260504915,-0.3684415641784167,0.2863647058527311,0.26270151260504915,1.0,2018,1.5343448192988387,5,False
Oats,Colorado,2002,spring,drought,max_dry_spell_1mm,1.7934,2.252713694581292,0.4593136945812919,-0.4190452642674034,0.4285447978695517,0.4190452642674034,0.9123291319441346,2005,1.1342958983736777,2,False
Oats,Nebraska,2002,spring,heat,max_consecutive_heat_days_35,1.5423,2.1177938266838243,0.5754938266838243,-0.5814970637994596,0.38266227537462083,0.5754938266838243,1.0,2003,1.1119911852069653,2,False
Oats,North Dakota,2002,spring,heat,heat_days_40,1.5064,2.095646516516503,0.5892465165165028,-0.5379595942289305,0.33699295549097397,0.5379595942289305,0.9129618574738982,2018,1.5343448192988387,5,False
Oats,South Dakota,2002,spring,heat,heat_days_40,1.614,2.3005976619476556,0.6865976619476555,-0.6211700886267664,0.1745334503167136,0.6211700886267664,0.9047075500733687,1998,1.2005728697183815,7,False
Wheat,Colorado,2002,winter,drought,dry_days_2mm,1.5333,2.288568871728872,0.7552688717288718,-0.6788833408508596,0.30742329512707717,0.6788833408508596,0.8988631284337728,2017,1.243120656057207,2,False
Wheat,Illinois,2002,winter,heat,heatwave_events_3d_30,3.2953,3.7840975375375194,0.4887975375375193,-0.43144443282441175,0.25790896836713484,0.43144443282441175,0.8826649066154405,1990,0.895425812666855,2,False
Wheat,Minnesota,2002,spring,frost_cold,frost_days_0,2.2865,3.0337430501930527,0.7472430501930525,-0.6549048761646884,0.34175082134059165,0.6549048761646884,0.8764281929360089,2025,1.0728493683321036,10,False
Wheat,Montana,2002,spring,heat,heatwave_events_3d_35,1.5535,2.163399146289148,0.6098991462891479,-0.4940129504193849,0.24355024015099286,0.4940129504193849,0.8099912148182901,2004,1.7708622428317373,9,False
Wheat,Nebraska,2002,winter,heat,heat_days_40,2.2193,2.659434118404114,0.4401341184041141,-0.4039657144782151,0.28403872502509936,0.4039657144782151,0.9178241303877048,2014,1.3556381744644381,9,False
Wheat,North Dakota,2002,spring,heat,heat_days_40,1.836,2.3639458773058664,0.5279458773058663,-0.5304360306165716,0.276699026072359,0.5279458773058663,1.0,2018,1.5343448192988387,5,False
Wheat,South Dakota,2002,spring,drought,max_dry_spell_1mm,1.7754,2.548265478335466,0.772865478335466,-0.7095706384709873,0.22974353156376884,0.7095706384709873,0.9181036782742608,2003,1.0652771396621394,3,False
Barley,Montana,2003,spring,heat,heat_days_35,2.152,2.657026615186613,0.5050266151866127,-0.42955640899857994,0.26134198332372216,0.42955640899857994,0.8505619230381636,2005,1.3938910707425545,5,False
Barley,Washington,2003,spring,frost_cold,frost_days_0,2.5286,3.3467064092664085,0.8181064092664085,-0.8613911119560069,0.48790470838531497,0.8181064092664085,1.0,2016,0.9484214807355774,10,False
Canola,Montana,2003,spring,heat,heat_days_35,1.0536,1.4012006715506766,0.34760067155067653,-0.3446579092364435,0.40797663960002994,0.3446579092364435,0.9915340718385119,2016,1.5946957889622084,8,False
Oats,Washington,2003,spring,drought,dry_spell_events_7d,1.7934,2.4512663546798024,0.6578663546798023,-0.5964251255413389,0.4591840605077958,0.5964251255413389,0.9066053025794758,2012,0.8033389264646109,5,False
Barley,Kansas,2004,spring,heat,heatwave_events_3d_35,1.5064,2.216517285984761,0.7101172859847609,-0.5781939503404157,0.6325282513467757,0.5781939503404157,0.814223173765726,2021,1.0273842793027377,9,False
Oats,Colorado,2004,spring,radiation,radiation_sum,1.9727,2.278193103448288,0.3054931034482882,-0.18709915019644058,0.3124191586355446,0.18709915019644058,0.6124496693527206,1998,0.8909068317885084,9,False
Wheat,Colorado,2004,winter,excess_rain,heavy_rain_days_10,1.8427,2.3067145345345335,0.46401453453453345,-0.37532996268039437,0.5777722198179183,0.37532996268039437,0.808875444078274,1999,0.9743329870298483,10,False
Barley,Minnesota,2005,spring,heat,heat_days_35,2.3134,3.22628942513942,0.91288942513942,-0.697182439886849,0.6561558838119335,0.697182439886849,0.7637096242848609,2003,1.3580562153442288,4,False
Canola,Minnesota,2005,spring,heat,heat_days_35,0.9191,1.612920098522153,0.693820098522153,-0.5656188287027165,0.6162852464728101,0.5656188287027165,0.8152240471377132,2003,1.3580562153442288,4,False
Wheat,Colorado,2005,winter,frost_cold,frost_events_2d,1.6409,2.315787365937366,0.674887365937366,-0.522143054765884,0.6462723644512931,0.522143054765884,0.7736743657079251,2016,0.8153048754173366,10,False
